	Run	Cell	Species	CellLine	Barcode.1st	Barcode.2nd	Remark	TotalReads	UniqReads	Length.Median	Length.Mean	Length.Std	Background	GC.Median	GC.Mean	GC.Std	Spikiness	GenomicDepth	GenomicCoverage
88	20220430_S5Merged	20220430_S5Merged.sc033	Human	HG001	13	1		42417	36067	2665.0	2904.060858956941	1184.233349113929	0.011278	0.3929807217004449	0.4038968218228023	0.06321386868580177	0.3753668270923817	0.04035791289574141	0.03358762500161209
89	20220430_S5Merged	20220430_S5Merged.sc034	Human	HG001	13	2		1040	1018	2604.5	2998.142436149313	1670.384374064432	0.289747	0.3981008505298166	0.4115609675711877	0.06773454074486995	1.524352331606218	0.001066858565649135	0.001023797718879956
90	20220430_S5Merged	20220430_S5Merged.sc035	Human	HG001	13	3		1332	1249	2712.0	3013.345076060849	1488.202466024593	0.017229	0.4007849978194505	0.4137337484137679	0.06864282811752348	1.360876897133221	0.001349552676862896	0.001262902635778153
91	20220430_S5Merged	20220430_S5Merged.sc036	Human	HG001	13	4		327308	188227	2649.0	3018.298352521158	1475.522741679512	0.322973	0.4066638188808201	0.4174151734253181	0.06714002677097948	0.3483068914915414	0.3278233506270818	0.1636079119960897
92	20220430_S5Merged	20220430_S5Merged.sc037	Human	HG001	13	5		388641	86637	2629.0	3070.705945496728	1699.869505099821	0.007252	0.3951799273687686	0.4067571077566272	0.06624245896578349	0.344954128440367	0.3767535254195251	0.07714146837936874
93	20220430_S5Merged	20220430_S5Merged.sc038	Human	HG001	13	6		40526	35151	2582.0	2882.344257631362	1297.247880592048	0.006715	0.3956743002544529	0.4068290798067802	0.06500614968022148	0.3842318944414592	0.03880727719489534	0.03283381670501947
94	20220430_S5Merged	20220430_S5Merged.sc039	Human	HG001	13	7		398189	186429	2476.0	2870.051923252284	1483.102278373068	0.01624	0.3964744547355841	0.4075246287320416	0.06550545476350518	0.2372915876958241	0.3691815016020016	0.1602327805654636
95	20220430_S5Merged	20220430_S5Merged.sc040	Human	HG001	13	8		150	148	2675.5	3029.540540540541	1664.515384300392	0.0	0.4006791595458344	0.4122298703712684	0.06967417530932768	1.845070422535212	0.0001515060067505592	0.0001489014863902392
96	20220430_S5Merged	20220430_S5Merged.sc041	Human	HG001	14	1		285	239	2403.0	2581.991631799163	1301.126174552532	0.03125	0.3996003996003996	0.4082345378445181	0.06628315019542241	1.884955752212389	0.000255284386593796	0.0002066144993157329
97	20220430_S5Merged	20220430_S5Merged.sc042	Human	HG001	14	2		563791	185533	2416.0	2789.324050168973	1434.873150154521	0.006467000000000001	0.3958596314062106	0.4069601864076264	0.06555517038845908	0.2507306901247158	0.5107118468509806	0.1504852323344265
98	20220430_S5Merged	20220430_S5Merged.sc043	Human	HG001	14	3		4713	4343	2769.0	3088.586460971679	1455.455784840785	0.201711	0.4052905054322154	0.4171787534392054	0.06914448804345458	0.9775197628458498	0.004701806554382756	0.004321340668841565
99	20220430_S5Merged	20220430_S5Merged.sc044	Human	HG001	14	4		525101	115344	2530.0	2989.081321958663	1719.542059733785	0.003831	0.3975308641975309	0.4087512950315355	0.06672944351637569	0.4058553281839148	0.5021942777948901	0.09902123940510386
100	20220430_S5Merged	20220430_S5Merged.sc045	Human	HG001	14	5		315	308	2904.5	3228.025974025974	1532.641904398271	0.0	0.3925908436960518	0.4047053647608097	0.06185301896197711	1.698630136986301	0.0003787987559889716	0.0003702457170386152
101	20220430_S5Merged	20220430_S5Merged.sc046	Human	HG001	14	6		490	399	2728.0	3170.711779448621	1650.569943225761	0.0	0.4138309549945115	0.4237987637534704	0.06828295326806606	1.677248677248677	0.0005154372923493708	0.0004259611658042107
102	20220430_S5Merged	20220430_S5Merged.sc047	Human	HG001	14	7		503380	187276	2525.5	2931.036625088105	1521.616366287389	0.004441	0.3970212765957447	0.4081618029107498	0.06571443952665584	0.2472619195325806	0.4799273121915238	0.1617458802861809
103	20220430_S5Merged	20220430_S5Merged.sc048	Human	HG001	14	8		6416	6303	2547.0	2806.474059971442	1239.699524320117	0.294307	0.4010183805265772	0.4127887926826902	0.06682797168462946	0.8036605657237936	0.005991219089170277	0.005857937420597999
104	20220430_S5Merged	20220430_S5Merged.sc049	Human	HG001	15	1		29893	22308	3096.0	3448.009368836292	1614.532420554009	0.004504999999999999	0.3943728281185747	0.4055876253898631	0.06354687795394709	0.5142599534949936	0.03422062014477083	0.02459775115207748
105	20220430_S5Merged	20220430_S5Merged.sc050	Human	HG001	15	2		5710	4674	3080.0	3475.512836970475	1751.073177616989	0.055465	0.3997063739921748	0.4120898114824239	0.06676916894185342	1.040072447362463	0.006566682784524801	0.005308055276918215
106	20220430_S5Merged	20220430_S5Merged.sc051	Human	HG001	15	3		84	57	2909.0	2978.491228070176	1429.514763984398	0.0	0.3939986953685584	0.4179567457470904	0.06768697760652295	2.0	8.45397813323314e-05	6.345040119251806e-05
107	20220430_S5Merged	20220430_S5Merged.sc052	Human	HG001	15	4		280730	82242	2600.0	3007.58927312079	1585.545202601514	0.006809	0.3972963094673621	0.4085557289032189	0.06611780566599029	0.4685457410804248	0.2733479231180734	0.07293774469174003
108	20220430_S5Merged	20220430_S5Merged.sc053	Human	HG001	15	5		1483	1330	3215.0	3613.192481203008	1729.854985604766	0.02003	0.4021258458844728	0.4123201803637955	0.06484213201573241	1.38529886914378	0.001762761501591998	0.001564743867290377
109	20220430_S5Merged	20220430_S5Merged.sc054	Human	HG001	15	6		4843	4482	3104.5	3468.196117804552	1644.518675190563	0.006778	0.4024818095925419	0.4144098357182442	0.06620950695487031	0.9260148931059332	0.005447782159469758	0.004948307293452626
110	20220430_S5Merged	20220430_S5Merged.sc055	Human	HG001	15	7		66361	50877	2875.0	3195.242585058081	1446.397393476644	0.001969	0.3957040572792363	0.406638894610056	0.06379644523026763	0.3978268054866964	0.07041803715608606	0.05216578073171538
111	20220430_S5Merged	20220430_S5Merged.sc056	Human	HG001	15	8		121	118	2584.5	2821.203389830509	1205.888128713257	0.0	0.3976638107251087	0.4065181560670932	0.07411584583389108	1.963963963963964	0.0001109808108129412	0.0001070889867862825
112	20220430_S5Merged	20220430_S5Merged.sc057	Human	HG001	16	1		273	267	2330.0	2508.389513108614	1141.041070550939	0.145833	0.407098121085595	0.4117660076361385	0.06783984294464968	1.826923076923077	0.0002328718767196534	0.0002285324007560647
113	20220430_S5Merged	20220430_S5Merged.sc058	Human	HG001	16	2		2609	2569	2368.0	2648.514986376022	1278.688845860567	0.397888	0.397671568627451	0.4081328683564647	0.06508170144629355	1.094331983805668	0.002339109370391492	0.0022883271364056
114	20220430_S5Merged	20220430_S5Merged.sc059	Human	HG001	16	3		247	235	2781.0	3104.727659574468	1643.858875459337	0.025	0.4075403949730701	0.4154738965904399	0.06681798899569072	1.888392857142857	0.0002558409080383088	0.0002452652614630511
115	20220430_S5Merged	20220430_S5Merged.sc060	Human	HG001	16	4		632	594	2354.5	2588.712121212121	1250.223998632018	0.055336	0.3966140419618983	0.4056743290265579	0.06186333253073579	1.657142857142857	0.0005477805795749418	0.0005124724243537287
116	20220430_S5Merged	20220430_S5Merged.sc061	Human	HG001	16	5		110108	55272	2903.0	3249.919036763641	1489.164734156249	0.006464	0.3958333333333333	0.4065531137845111	0.0631847125671839	0.5287261434439924	0.1186352102390296	0.05407586841618375
117	20220430_S5Merged	20220430_S5Merged.sc062	Human	HG001	16	6		318	261	2650.0	2958.827586206897	1418.758046870868	0.0	0.4037055095075573	0.408109120940267	0.06801804626164146	1.821011673151751	0.000326007827414291	0.000267886466878886
118	20220430_S5Merged	20220430_S5Merged.sc063	Human	HG001	16	7		50	50	2477.5	2837.98	1424.636971161425	0.0	0.3900194585211524	0.402933177036541	0.06163415338747445	1.956521739130435	5.434814514160803e-05	5.412831917102546e-05
119	20220430_S5Merged	20220430_S5Merged.sc064	Human	HG001	16	8		28399	25775	2712.0	2974.451716779825	1286.095928554961	0.103049	0.3987615207373272	0.4103295622740757	0.06563059202837586	0.5025461359840306	0.02801119630155104	0.02479979904511508
120	20220430_S5Merged	20220430_S5Merged.sc065	Human	HG001	17	1		4169	4057	2614.0	2883.419275326596	1256.415883386861	0.0034	0.3926252319109462	0.4043785960773965	0.06362243008345447	0.9033018867924528	0.003957665035281327	0.003825463366137306
121	20220430_S5Merged	20220430_S5Merged.sc066	Human	HG001	17	2		107787	85614	2561.0	2857.839956081949	1265.142161895777	0.243302	0.4036457539826387	0.4145444749524141	0.06658378997107099	0.3823032101889133	0.1035850175108186	0.07525522311706101
