Run,Cell,Method,Species,CellLine,Layout,SRR,TotalReads,UniqReads,Background,GC.Mean,GC.Median,Spikiness,GenomicDepth,GenomicCoverage
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429136,Strand-seq,Human,HG001,PAIRED,ERR1429136,3520632,1669214,0.017154,0.4727490370743651,0.4653465346534653,0.1936441512655126,0.1153711500539511,0.0415357105330951
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429137,Strand-seq,Human,HG001,PAIRED,ERR1429137,2684960,1334482,0.009928,0.4597141351597572,0.4554455445544554,0.2174800856585156,0.0881563091569034,0.035334831381004
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429138,Strand-seq,Human,HG001,PAIRED,ERR1429138,2577864,1239688,0.011463,0.4741452871233291,0.4653465346534653,0.208496836032327,0.0849169091326832,0.0330928461331089
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429139,Strand-seq,Human,HG001,PAIRED,ERR1429139,3104828,1468684,0.018763,0.4563760222795949,0.4455445544554455,0.1756939708700926,0.1019813209684972,0.0400615047048312
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429140,Strand-seq,Human,HG001,PAIRED,ERR1429140,5339622,2303848,0.012327,0.4567651487679983,0.4455445544554455,0.165277938191958,0.1753383551773994,0.0598707690005876
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429141,Strand-seq,Human,HG001,PAIRED,ERR1429141,2861474,1360670,0.011522,0.4550205193356342,0.4455445544554455,0.225992272567615,0.0932673617555044,0.0357396948188467
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429142,Strand-seq,Human,HG001,PAIRED,ERR1429142,3045116,1512256,0.042989,0.4613810101795892,0.4554455445544554,0.2187226862025515,0.1011642403575743,0.0394396726861976
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429143,Strand-seq,Human,HG001,PAIRED,ERR1429143,4129208,1863910,0.010738,0.4581597946574872,0.4455445544554455,0.1688141612185614,0.1356242916799402,0.0484638501697461
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429144,Strand-seq,Human,HG001,PAIRED,ERR1429144,2660748,1224990,0.019677,0.464314383803145,0.4554455445544554,0.1992523409545653,0.0874428302302651,0.0324064186704107
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429145,Strand-seq,Human,HG001,PAIRED,ERR1429145,2741928,1238924,0.010111,0.4572159489873947,0.4455445544554455,0.1817225764622398,0.0901014441271659,0.0330210635624143
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429146,Strand-seq,Human,HG001,PAIRED,ERR1429146,1555346,938548,0.012364,0.4542269342151202,0.4455445544554455,0.1760598201081508,0.0512331307906695,0.0248411531101791
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429147,Strand-seq,Human,HG001,PAIRED,ERR1429147,3467464,1738382,0.014445,0.4505366461351354,0.4455445544554455,0.1591959696485099,0.1137654910778861,0.0448453821722881
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429149,Strand-seq,Human,HG001,PAIRED,ERR1429149,3003636,1355038,0.01061,0.4674921064672741,0.4554455445544554,0.1900069080974104,0.0986524608177233,0.0353359211195575
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429150,Strand-seq,Human,HG001,PAIRED,ERR1429150,2646824,1146014,0.013739,0.4595643990228404,0.4554455445544554,0.2397115078246872,0.08691815781237,0.03052941096843
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429151,Strand-seq,Human,HG001,PAIRED,ERR1429151,3554918,1735382,0.014847,0.4582298954523973,0.4455445544554455,0.1708907249894803,0.1165727908091173,0.0444114669237382
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429152,Strand-seq,Human,HG001,PAIRED,ERR1429152,2615974,1054718,0.010835,0.4649679792182377,0.4554455445544554,0.2776480715035315,0.0874089526829822,0.0295393777534146
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429153,Strand-seq,Human,HG001,PAIRED,ERR1429153,3098136,1485770,0.008353,0.4613925967223003,0.4554455445544554,0.1823581994253485,0.1019394354254536,0.0394522577230134
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429154,Strand-seq,Human,HG001,PAIRED,ERR1429154,2820848,1354618,0.008106,0.4585740832092469,0.4489795918367347,0.1768055419311743,0.0927728799303223,0.0359006658640648
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429155,Strand-seq,Human,HG001,PAIRED,ERR1429155,2559684,1198556,0.009994,0.4634633898862317,0.4554455445544554,0.1950723502726804,0.0839792205856091,0.0319680369894426
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429156,Strand-seq,Human,HG001,PAIRED,ERR1429156,2151054,928184,0.022825,0.4779838147064995,0.47,0.2202063994286143,0.0704570305267476,0.0245777803800411
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429157,Strand-seq,Human,HG001,PAIRED,ERR1429157,2309994,967142,0.009013,0.45530753376668,0.4455445544554455,0.1928704363454605,0.0777014266916273,0.027687105690513
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429158,Strand-seq,Human,HG001,PAIRED,ERR1429158,2133554,1163112,0.012282,0.4622716516045459,0.4554455445544554,0.1898586920562905,0.0700162418905321,0.0298891257421741
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429159,Strand-seq,Human,HG001,PAIRED,ERR1429159,2215474,1205630,0.018438,0.4570481440222914,0.4455445544554455,0.1759353626640798,0.0728203816234362,0.0308296695920844
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429160,Strand-seq,Human,HG001,PAIRED,ERR1429160,2764112,1325700,0.009304,0.4671437612182449,0.4554455445544554,0.1947467817714059,0.0908510625129331,0.0347954542752412
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429161,Strand-seq,Human,HG001,PAIRED,ERR1429161,2504888,1224782,0.00954,0.462386246198364,0.4554455445544554,0.1904597554367521,0.0822887268718461,0.032467532377188
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429162,Strand-seq,Human,HG001,PAIRED,ERR1429162,3256780,1541898,0.013389,0.4664768969883765,0.4554455445544554,0.1859244487150923,0.1070080376117449,0.0397998276259695
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429164,Strand-seq,Human,HG001,PAIRED,ERR1429164,2686716,1328934,0.019395,0.4680089721973287,0.4591836734693877,0.1902805927698834,0.0882549633655463,0.0345505093614346
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429165,Strand-seq,Human,HG001,PAIRED,ERR1429165,1648386,902602,0.009568,0.4558287281934117,0.4455445544554455,0.1776805149210064,0.0542204446874724,0.0228477246002654
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429166,Strand-seq,Human,HG001,PAIRED,ERR1429166,3492378,1812184,0.012607,0.4616449027255124,0.4554455445544554,0.178141058843385,0.1148294846015737,0.0464927235610694
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429167,Strand-seq,Human,HG001,PAIRED,ERR1429167,1827856,892014,0.016053,0.4866453204220398,0.4795918367346938,0.2509023207198967,0.0604487944337164,0.0230426931927029
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429170,Strand-seq,Human,HG001,PAIRED,ERR1429170,1906000,1216438,0.005958,0.4561396414317878,0.4455445544554455,0.167738885934638,0.0626259129333427,0.0308762678282853
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429171,Strand-seq,Human,HG001,PAIRED,ERR1429171,3733380,1679766,0.009879,0.4606793920129833,0.4554455445544554,0.1741686170607028,0.1227165906870779,0.0447660149099566
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429172,Strand-seq,Human,HG001,PAIRED,ERR1429172,3093652,1444660,0.025262,0.4554754953138755,0.4455445544554455,0.1716030105380539,0.1015164015624476,0.0383171393674135
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429173,Strand-seq,Human,HG001,PAIRED,ERR1429173,3445126,1576458,0.014148,0.4597755391292948,0.4536082474226804,0.1898380578078844,0.1139460742866347,0.0420808511140676
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429174,Strand-seq,Human,HG001,PAIRED,ERR1429174,1747118,844868,0.01042,0.4691085799424797,0.4631578947368421,0.2123202906289142,0.057209477539887,0.0229219336044581
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429175,Strand-seq,Human,HG001,PAIRED,ERR1429175,1677716,861488,0.009557,0.4594521128959826,0.45,0.1868486943787149,0.0548049476823894,0.0230293071128328
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429176,Strand-seq,Human,HG001,PAIRED,ERR1429176,1975924,973060,0.010686,0.4592846571771905,0.4489795918367347,0.1781340860605559,0.0645684872093086,0.0260488380360586
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429177,Strand-seq,Human,HG001,PAIRED,ERR1429177,2227620,854644,0.037342,0.4467558391689635,0.4356435643564356,0.18192210883932,0.072800231373234,0.0240669545635113
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429178,Strand-seq,Human,HG001,PAIRED,ERR1429178,1841134,888320,0.009838,0.4496768299444111,0.4387755102040816,0.17448244105065,0.0601616871074477,0.0236274765352976
20160928_PRJEB14185_CEU,20160928_PRJEB14185_CEU.ERR1429179,Strand-seq,Human,HG001,PAIRED,ERR1429179,3623666,1508050,0.023186,0.4579774362628696,0.4455445544554455,0.1765747692772576,0.1190438816748563,0.0402930325822624
