Run,Cell,Method,Species,CellLine,Layout,SRR,TotalReads,UniqReads,Background,GC.Mean,GC.Median,Spikiness,GenomicDepth,GenomicCoverage
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541163,OP-Strand-seq,Human,HG001,PAIRED,SRR16541163,992020,936798,0.006486,0.4360899009432791,0.4342105263157895,0.1319445853482578,0.024329347468081,0.0206433438542019
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541164,OP-Strand-seq,Human,HG001,PAIRED,SRR16541164,1496658,1372516,0.004627,0.4356631274004633,0.4342105263157895,0.1165831912174703,0.0367917238271291,0.0305021455915597
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541165,OP-Strand-seq,Human,HG001,PAIRED,SRR16541165,475138,459656,0.056701,0.4402791423441988,0.4342105263157895,0.1958676328326062,0.0117389763941836,0.0102711705625316
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541166,OP-Strand-seq,Human,HG001,PAIRED,SRR16541166,448046,433072,0.007967,0.4418620315988646,0.4342105263157895,0.1743012951601908,0.0110069072165172,0.0095645991104974
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541167,OP-Strand-seq,Human,HG001,PAIRED,SRR16541167,1153224,1089182,0.007819,0.4483377256937941,0.4473684210526316,0.1377290028058697,0.0284193738245958,0.0241889694554394
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541168,OP-Strand-seq,Human,HG001,PAIRED,SRR16541168,246598,240146,0.018722,0.4519803640745675,0.4473684210526316,0.2174413091956243,0.0060434294963131,0.0052152727173408
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541169,OP-Strand-seq,Human,HG001,PAIRED,SRR16541169,2326,2310,0.010611,0.4294383390150016,0.4210526315789473,1.4428044280442804,5.644449185790727e-05,4.9731104107568536e-05
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541170,OP-Strand-seq,Human,HG001,PAIRED,SRR16541170,1170172,1094786,0.010102,0.4357149754469893,0.4342105263157895,0.1280884967355549,0.0287310748769753,0.0242120908345035
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541171,OP-Strand-seq,Human,HG001,PAIRED,SRR16541171,1505946,1383236,0.006704,0.4298672393470241,0.4210526315789473,0.120896690450424,0.0370198757063475,0.0313974929436576
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541172,OP-Strand-seq,Human,HG001,PAIRED,SRR16541172,537146,517340,0.003621,0.4386053437823187,0.4342105263157895,0.1658052014278429,0.0131854145849735,0.0115227319869224
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541173,OP-Strand-seq,Human,HG001,PAIRED,SRR16541173,104458,102404,0.00984,0.4437524350941831,0.4342105263157895,0.2971168311934546,0.0025713262909361,0.0023203090325181
