Run,Cell,Method,Species,CellLine,Layout,SRR,TotalReads,UniqReads,Background,GC.Mean,GC.Median,Spikiness,GenomicDepth,GenomicCoverage
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009817,OP-Strand-seq,Human,HG001,PAIRED,SRR15009817,13713216,7555582,0.030442,0.4342745438772267,0.4285714285714285,0.0943608033818501,0.3394708122871039,0.1596274187989803
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009820,OP-Strand-seq,Human,HG001,PAIRED,SRR15009820,7004424,5021180,0.004423,0.4400308091658186,0.4342105263157895,0.096769117514826,0.1728020539113996,0.1057903704302804
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009821,OP-Strand-seq,Human,HG001,PAIRED,SRR15009821,3642206,2989964,0.009006,0.4504509699103422,0.4473684210526316,0.118132168098672,0.0900408445070729,0.0642106661813447
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009822,OP-Strand-seq,Human,HG001,PAIRED,SRR15009822,9116562,5841564,0.005038,0.4410881545410237,0.4342105263157895,0.1469983980627802,0.229194220927442,0.1263469480695461
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009823,OP-Strand-seq,Human,HG001,PAIRED,SRR15009823,18140724,8962954,0.009561,0.4401190085699579,0.4342105263157895,0.0912039819830383,0.448076877574606,0.1843470530169688
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009824,OP-Strand-seq,Human,HG001,PAIRED,SRR15009824,17147382,8839866,0.00946,0.4362214347427666,0.4342105263157895,0.0902435731955006,0.4242982498149787,0.1853360653629595
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009829,OP-Strand-seq,Human,HG001,PAIRED,SRR15009829,4289308,3462644,0.006563,0.4428275301814595,0.4342105263157895,0.1075812032252656,0.1058141391133496,0.0739545472838883
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009830,OP-Strand-seq,Human,HG001,PAIRED,SRR15009830,7993448,5540484,0.00492,0.4415759463210804,0.4342105263157895,0.099710290585015,0.1973595664760834,0.1179255657451439
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009831,OP-Strand-seq,Human,HG001,PAIRED,SRR15009831,11774742,7186766,0.025831,0.4366957462433709,0.4342105263157895,0.0932044424906636,0.29092723798565,0.1517676817424655
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009832,OP-Strand-seq,Human,HG001,PAIRED,SRR15009832,17899122,8732108,0.006782,0.4383812782351878,0.4342105263157895,0.1018505118683411,0.4430226795546023,0.1818675979817446
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009833,OP-Strand-seq,Human,HG001,PAIRED,SRR15009833,5520740,4224626,0.008467,0.4449604616539922,0.4342105263157895,0.1688365030308187,0.1384049423818009,0.0922123125749079
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009834,OP-Strand-seq,Human,HG001,PAIRED,SRR15009834,6689454,5036626,0.004927,0.4411960716825862,0.4342105263157895,0.0987213600399459,0.1651258277142574,0.1071010285190381
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009835,OP-Strand-seq,Human,HG001,PAIRED,SRR15009835,5498588,4327810,0.008356,0.4430910298197228,0.4342105263157895,0.1057068315835731,0.1359785203619798,0.093144660950896
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541224,OP-Strand-seq,Human,HG001,PAIRED,SRR16541224,2311370,2080172,0.012603,0.4317218090734033,0.4210526315789473,0.1113203290762614,0.056942260637871,0.0474371265393716
