Name	Number	Depth	Cells
cov9-r3	28	8.992936946695641	20220430_S5Merged.sc005,20220430_S5Merged.sc098,20220430_S5Merged.sc127,20220430_S5Merged.sc171,20220610_Treat.sc035,20220610_Treat.sc062,20220610_Treat.sc069,20220708_GM12878.sc015,20220708_GM12878.sc039,20220708_GM12878R2.C17,20220708_GM12878R2.C52,20220708_GM12878R2.C67,20220708_GM12878R2.C69,20220708_GM12878R2.C70,20220708_GM12878R2.C74,20220708_GM12878R2.C81,20220817_HG001.C01,20220817_HG001.C19,20220817_HG001.C35,20220817_HG001.C37,20220915_P1.C28,20220915_P1.C60,20220916_P1.C39,20220916_P1.C45,20220916_P1.C60,20220916_P2.C43,20220916_P2.C77,20220916_P2.C79
cov9-r4	27	8.990630265481997	20220418_S5CSTreat.sc018,20220418_S5CSTreat.sc050,20220418_S5CSTreat.sc055,20220430_S5Merged.sc042,20220430_S5Merged.sc097,20220430_S5Merged.sc153,20220610_Treat.sc014,20220610_Treat.sc081,20220708_GM12878.sc020,20220708_GM12878.sc066,20220708_GM12878.sc068,20220708_GM12878R2.C41,20220708_GM12878R2.C61,20220708_GM12878R2.C65,20220708_GM12878R2.C74,20220708_GM12878R2.C75,20220708_GM12878R2.C76,20220915_P1.C17,20220915_P1.C58,20220915_P1.C68,20220915_P1.C89,20220916_P1.C19,20220916_P1.C33,20220916_P1.C84,20220916_P2.C11,20220916_P2.C21,20220916_P2.C71
cov9-r5	31	8.988422893085342	20220418_S5CSTreat.sc043,20220418_S5CSTreat.sc045,20220430_S5Merged.sc003,20220430_S5Merged.sc082,20220430_S5Merged.sc093,20220430_S5Merged.sc136,20220430_S5Merged.sc147,20220430_S5Merged.sc167,20220610_Treat.sc013,20220610_Treat.sc061,20220610_Treat.sc072,20220708_GM12878.sc043,20220708_GM12878.sc044,20220708_GM12878R2.C11,20220708_GM12878R2.C16,20220708_GM12878R2.C31,20220708_GM12878R2.C54,20220708_GM12878R2.C84,20220817_HG001.C01,20220817_HG001.C18,20220915_P1.C37,20220915_P1.C43,20220915_P1.C51,20220915_P1.C54,20220915_P1.C72,20220915_P1.C76,20220916_P2.C09,20220916_P2.C15,20220916_P2.C28,20220916_P2.C30,20220916_P2.C71
cov10-r1	33	9.998610623692045	20220418_S5CSTreat.sc023,20220418_S5CSTreat.sc054,20220430_S5Merged.sc003,20220430_S5Merged.sc031,20220430_S5Merged.sc085,20220430_S5Merged.sc144,20220610_Treat.sc007,20220610_Treat.sc015,20220610_Treat.sc042,20220610_Treat.sc052,20220610_Treat.sc062,20220610_Treat.sc074,20220708_GM12878.sc002,20220708_GM12878.sc030,20220708_GM12878.sc076,20220708_GM12878R2.C51,20220708_GM12878R2.C53,20220708_GM12878R2.C54,20220708_GM12878R2.C70,20220708_GM12878R2.C81,20220817_HG001.C15,20220817_HG001.C19,20220817_HG001.C20,20220915_P1.C10,20220915_P1.C12,20220915_P1.C22,20220915_P1.C34,20220916_P1.C20,20220916_P1.C21,20220916_P1.C24,20220916_P1.C35,20220916_P1.C61,20220916_P2.C79
cov10-r2	37	10.001799602177739	20220418_S5CSTreat.sc018,20220418_S5CSTreat.sc028,20220418_S5CSTreat.sc043,20220430_S5Merged.sc031,20220430_S5Merged.sc042,20220430_S5Merged.sc093,20220430_S5Merged.sc133,20220430_S5Merged.sc147,20220610_Treat.sc044,20220610_Treat.sc081,20220610_Treat.sc084,20220708_GM12878.sc027,20220708_GM12878.sc031,20220708_GM12878.sc039,20220708_GM12878.sc043,20220708_GM12878.sc044,20220708_GM12878.sc052,20220708_GM12878R2.C01,20220708_GM12878R2.C05,20220708_GM12878R2.C61,20220708_GM12878R2.C64,20220708_GM12878R2.C84,20220817_HG001.C06,20220817_HG001.C18,20220817_HG001.C28,20220817_HG001.C34,20220817_HG001.C52,20220817_HG001.C55,20220915_P1.C04,20220915_P1.C64,20220915_P1.C65,20220915_P1.C74,20220916_P1.C04,20220916_P1.C26,20220916_P1.C33,20220916_P2.C11,20220916_P2.C79
cov10-r3	34	9.998089317533235	20220418_S5CSTreat.sc031,20220430_S5Merged.sc005,20220430_S5Merged.sc013,20220430_S5Merged.sc082,20220430_S5Merged.sc095,20220430_S5Merged.sc124,20220430_S5Merged.sc125,20220430_S5Merged.sc147,20220610_Treat.sc001,20220610_Treat.sc013,20220610_Treat.sc023,20220708_GM12878.sc005,20220708_GM12878.sc013,20220708_GM12878.sc018,20220708_GM12878.sc021,20220708_GM12878.sc030,20220708_GM12878.sc034,20220708_GM12878.sc051,20220708_GM12878.sc076,20220708_GM12878R2.C02,20220708_GM12878R2.C03,20220708_GM12878R2.C11,20220708_GM12878R2.C18,20220708_GM12878R2.C45,20220708_GM12878R2.C55,20220708_GM12878R2.C69,20220817_HG001.C09,20220817_HG001.C62,20220915_P1.C20,20220915_P1.C50,20220915_P1.C58,20220915_P1.C60,20220916_P1.C21,20220916_P1.C66
cov10-r4	34	10.007102192761899	20220430_S5Merged.sc098,20220610_Treat.sc014,20220610_Treat.sc018,20220610_Treat.sc030,20220610_Treat.sc035,20220610_Treat.sc052,20220708_GM12878.sc002,20220708_GM12878.sc004,20220708_GM12878.sc007,20220708_GM12878.sc031,20220708_GM12878.sc068,20220708_GM12878.sc084,20220708_GM12878R2.C10,20220708_GM12878R2.C11,20220708_GM12878R2.C31,20220708_GM12878R2.C39,20220708_GM12878R2.C68,20220708_GM12878R2.C76,20220708_GM12878R2.C77,20220817_HG001.C07,20220817_HG001.C30,20220817_HG001.C55,20220817_HG001.C59,20220915_P1.C02,20220915_P1.C05,20220915_P1.C38,20220915_P1.C59,20220915_P1.C72,20220915_P1.C88,20220916_P1.C21,20220916_P1.C24,20220916_P1.C61,20220916_P2.C30,20220916_P2.C35
cov10-r5	35	9.99219582987059	20220430_S5Merged.sc085,20220430_S5Merged.sc129,20220430_S5Merged.sc145,20220610_Treat.sc021,20220610_Treat.sc022,20220610_Treat.sc038,20220610_Treat.sc067,20220610_Treat.sc075,20220610_Treat.sc078,20220708_GM12878.sc013,20220708_GM12878.sc029,20220708_GM12878.sc047,20220708_GM12878.sc049,20220708_GM12878.sc051,20220708_GM12878.sc057,20220708_GM12878.sc081,20220708_GM12878R2.C05,20220708_GM12878R2.C08,20220708_GM12878R2.C13,20220708_GM12878R2.C41,20220708_GM12878R2.C52,20220817_HG001.C01,20220817_HG001.C04,20220817_HG001.C07,20220817_HG001.C18,20220817_HG001.C53,20220915_P1.C43,20220915_P1.C62,20220915_P1.C90,20220916_P1.C20,20220916_P1.C26,20220916_P1.C61,20220916_P1.C66,20220916_P2.C11,20220916_P2.C49
cov11-r1	41	11.000024270248021	20220418_S5CSTreat.sc028,20220430_S5Merged.sc037,20220430_S5Merged.sc069,20220430_S5Merged.sc070,20220430_S5Merged.sc097,20220430_S5Merged.sc101,20220430_S5Merged.sc124,20220430_S5Merged.sc129,20220430_S5Merged.sc147,20220610_Treat.sc003,20220610_Treat.sc010,20220610_Treat.sc024,20220610_Treat.sc040,20220610_Treat.sc053,20220610_Treat.sc074,20220708_GM12878.sc007,20220708_GM12878.sc008,20220708_GM12878.sc014,20220708_GM12878.sc029,20220708_GM12878.sc030,20220708_GM12878.sc035,20220708_GM12878.sc066,20220708_GM12878.sc067,20220708_GM12878R2.C01,20220708_GM12878R2.C08,20220817_HG001.C07,20220817_HG001.C20,20220915_P1.C02,20220915_P1.C04,20220915_P1.C06,20220915_P1.C12,20220915_P1.C37,20220915_P1.C41,20220915_P1.C74,20220916_P1.C44,20220916_P1.C68,20220916_P1.C84,20220916_P2.C11,20220916_P2.C31,20220916_P2.C72,20220916_P2.C79
cov11-r2	43	11.000856082329403	20220418_S5CSTreat.sc038,20220418_S5CSTreat.sc050,20220430_S5Merged.sc002,20220430_S5Merged.sc042,20220430_S5Merged.sc129,20220430_S5Merged.sc153,20220610_Treat.sc021,20220610_Treat.sc022,20220610_Treat.sc081,20220708_GM12878.sc005,20220708_GM12878.sc012,20220708_GM12878.sc018,20220708_GM12878.sc036,20220708_GM12878.sc043,20220708_GM12878.sc051,20220708_GM12878R2.C16,20220708_GM12878R2.C61,20220708_GM12878R2.C68,20220708_GM12878R2.C70,20220708_GM12878R2.C81,20220817_HG001.C01,20220817_HG001.C18,20220817_HG001.C23,20220817_HG001.C52,20220817_HG001.C55,20220817_HG001.C57,20220817_HG001.C59,20220817_HG001.C61,20220915_P1.C15,20220915_P1.C36,20220915_P1.C42,20220915_P1.C43,20220915_P1.C47,20220915_P1.C51,20220915_P1.C63,20220915_P1.C66,20220915_P1.C68,20220915_P1.C74,20220915_P1.C90,20220916_P1.C61,20220916_P1.C67,20220916_P2.C08,20220916_P2.C79
